From	To	Direction	Type	Pathway_name	Database_source	Conc	DB_edge_correlation	DB_edge_color	Branch	Branch_path	Signaling_protein	Global_sign	receiver_avg_log2FC	Edge_weight	p_val
TNF	TNFRSF1A	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Ligand	1	41.113067856744	0.045275302400301	0.01
TNFRSF1A	TRAF2	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Receptor	1	-0.798803911298352	0.0202969922320282	0.01
TRAF2	MAP3K7	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TRAF2MAP3K7	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Signaling	1	-25.0261141566789	0.0278372591006424	0.01
MAP3K7	IKBKB	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	MAP3K7IKBKB	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Signaling	1	-0.973295340633806	0.0319703360317765	0.01
IKBKB	NFKBIA	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	IKBKBNFKBIA	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Signaling	1	-34.8968680517083	0.0433062306797876	0.01
NFKBIA	NFKB1	directed	process(dissociation)	NF-kappa_B_signaling_pathway	KEGG	NFKBIANFKB1	-1	Blue	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Signaling	-1	-0.339303675079845	-0.0382748606910074	0.01
NFKB1	CCL4	directed	process(expression)	NF-kappa_B_signaling_pathway	KEGG	NFKB1CCL4	1	Red	Leaf_branch_89	TNF___TNFRSF1A___TRAF2___MAP3K7___IKBKB___NFKBIA___NFKB1___CCL4	Leaf	-1	-78.5512946553205	-0.0443375672317685	0.01
TNF	TNFRSF1A	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_93	TNF___TNFRSF1A___TRAF2___BTK___CHUK___NFKB2___ICAM1	Ligand	1	41.113067856744	0.045275302400301	0.019
TNFRSF1A	TRAF2	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_93	TNF___TNFRSF1A___TRAF2___BTK___CHUK___NFKB2___ICAM1	Receptor	1	-0.798803911298352	0.0202969922320282	0.019
TRAF2	BTK	directed	process(activation)	NF-kappa_B_signaling_pathway	KEGG	TRAF2BTK	1	Red	Leaf_branch_93	TNF___TNFRSF1A___TRAF2___BTK___CHUK___NFKB2___ICAM1	Signaling	1	-51.4448456455216	0.0116328950892553	0.019
