From	To	Direction	Type	Pathway_name	Database_source	Conc	DB_edge_correlation	DB_edge_color	Branch	Branch_path	Signaling_protein	Global_sign	receiver_avg_log2FC	Edge_weight	p_val
CD40LG	CD40	directed	activation	hepatic_fibrosis_signaling_pathwya	IPA_manual	CD40LGCD40	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Ligand	1	-0.57736473776423	0.0449290681026506	0.036
CD40	IKK	directed	activation	hepatic_fibrosis_signaling_pathwya	IPA_manual	CD40IKK	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Receptor	1	0	2.2250738585072e-308	0.036
IKK	IKΒ	directed	inhibition	hepatic_fibrosis_signaling_pathwya	IPA_manual	IKKIKΒ	-1	Blue	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	-1	0	-2.2250738585072e-308	0.036
IKΒ	NFKB	directed	inhibition	hepatic_fibrosis_signaling_pathwya	IPA_manual	IKΒNFKB	-1	Blue	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
NFKB	MIR378A-3P	directed	expression	hepatic_fibrosis_signaling_pathwya	IPA_manual	NFKBMIR378A-3P	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
MIR378A-3P	GLI	directed	expression	hepatic_fibrosis_signaling_pathwya	IPA_manual	MIR378A-3PGLI	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
GLI	HIF1Α	directed	expression	hepatic_fibrosis_signaling_pathwya	IPA_manual	GLIHIF1Α	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
HIF1Α	PDGF	directed	expression	hepatic_fibrosis_signaling_pathwya	IPA_manual	HIF1ΑPDGF	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
PDGF	PDGFR	directed	activation	hepatic_fibrosis_signaling_pathwya	IPA_manual	PDGFPDGFR	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
PDGFR	NADPHOXIDASE	directed	activation	hepatic_fibrosis_signaling_pathwya	IPA_manual	PDGFRNADPHOXIDASE	1	Red	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Signaling	1	0	2.2250738585072e-308	0.036
NADPHOXIDASE	NCF1	undirected	membership	hepatic_fibrosis_signaling_pathwya	IPA_manual	NADPHOXIDASENCF1	0.25	Green	Leaf_branch_23	CD40LG___CD40___IKK___IKΒ___NFKB___MIR378A-3P___GLI___HIF1Α___PDGF___PDGFR___NADPHOXIDASE___NCF1	Leaf	1	16.6333100890675	0.0297301415361229	0.036
