From	To	Direction	Type	Pathway_name	Database_source	Conc	DB_edge_correlation	DB_edge_color	Branch	Branch_path	Signaling_protein	Global_sign	receiver_avg_log2FC	Edge_weight	p_val
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Ligand	1	41.113067856744	0.045275302400301	0.001
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Receptor	1	-0.798803911298352	0.0202969922320282	0.001
TRAF2	MAP3K5	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K5	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Signaling	1	1.14037069284216	0.0243368467251677	0.001
MAP3K5	MAP2K3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K5MAP2K3	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Signaling	1	41.5689220350492	0.0338528694855873	0.001
MAP2K3	MAPK14	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP2K3MAPK14	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Signaling	1	-12.3617867435481	0.0115589886790036	0.001
MAPK14	ATF2	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAPK14ATF2	1	Red	Leaf_branch_40	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___ATF2	Leaf	1	-0.788473511322182	0.0243368467251677	0.001
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Ligand	1	41.113067856744	0.045275302400301	0.001
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Receptor	1	-0.798803911298352	0.0202969922320282	0.001
TRAF2	MAP3K5	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K5	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Signaling	1	1.14037069284216	0.0243368467251677	0.001
MAP3K5	MAP2K3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K5MAP2K3	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Signaling	1	41.5689220350492	0.0338528694855873	0.001
MAP2K3	MAPK14	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP2K3MAPK14	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Signaling	1	-12.3617867435481	0.0115589886790036	0.001
MAPK14	DDIT3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAPK14DDIT3	1	Red	Leaf_branch_41	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___DDIT3	Leaf	1	-0.448591287553	0.00804846330137888	0.001
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Ligand	1	41.113067856744	0.045275302400301	0.001
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Receptor	1	-0.798803911298352	0.0202969922320282	0.001
TRAF2	MAP3K5	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K5	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Signaling	1	1.14037069284216	0.0243368467251677	0.001
MAP3K5	MAP2K3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K5MAP2K3	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Signaling	1	41.5689220350492	0.0338528694855873	0.001
MAP2K3	MAPK14	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP2K3MAPK14	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Signaling	1	-12.3617867435481	0.0115589886790036	0.001
MAPK14	MAX	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAPK14MAX	1	Red	Leaf_branch_42	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MAX	Leaf	1	25.246443443117	0.0688344594076351	0.001
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Ligand	1	41.113067856744	0.045275302400301	0.001
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Receptor	1	-0.798803911298352	0.0202969922320282	0.001
TRAF2	MAP3K5	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K5	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Signaling	1	1.14037069284216	0.0243368467251677	0.001
MAP3K5	MAP2K3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K5MAP2K3	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Signaling	1	41.5689220350492	0.0338528694855873	0.001
MAP2K3	MAPK14	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP2K3MAPK14	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Signaling	1	-12.3617867435481	0.0115589886790036	0.001
MAPK14	MEF2C	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAPK14MEF2C	1	Red	Leaf_branch_43	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___MEF2C	Leaf	1	0.301131470423547	0.0143863140126028	0.001
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Ligand	1	41.113067856744	0.045275302400301	0.001
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Receptor	1	-0.798803911298352	0.0202969922320282	0.001
TRAF2	MAP3K5	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K5	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Signaling	1	1.14037069284216	0.0243368467251677	0.001
MAP3K5	MAP2K3	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K5MAP2K3	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Signaling	1	41.5689220350492	0.0338528694855873	0.001
MAP2K3	MAPK14	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP2K3MAPK14	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Signaling	1	-12.3617867435481	0.0115589886790036	0.001
MAPK14	CDC25B	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAPK14CDC25B	1	Red	Leaf_branch_45	TNF___TNFRSF1A___TRAF2___MAP3K5___MAP2K3___MAPK14___CDC25B	Leaf	1	-8.80300714998683	0.0187715307943322	0.001
IFNG	IFNGR2	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGIFNGR2	1	Red	Leaf_branch_137	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Ligand	1	24.5549696494559	0.0272586370712746	0.002
IFNGR2	STAT1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGR2STAT1	1	Red	Leaf_branch_137	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Receptor	1	-0.778639888731408	0.0295412626560003	0.002
STAT1	TRAF2	directed	process(indirect_effect)	Osteoclast_differentiation	KEGG	STAT1TRAF2	0.25	Green	Leaf_branch_137	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-0.798803911298352	0.00278792252561712	0.002
TRAF2	RAC1	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2RAC1	1	Red	Leaf_branch_137	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-15.1440564852218	1.33661721291699e-05	0.002
RAC1	NCF2	directed	process(activation)	Osteoclast_differentiation	KEGG	RAC1NCF2	1	Red	Leaf_branch_137	IFNG___IFNGR2___STAT1___TRAF2___RAC1___NCF2	Leaf	1	42.617866571851	0.0679916991809278	0.002
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_53	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Ligand	1	41.113067856744	0.045275302400301	0.002
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_53	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Receptor	1	-0.798803911298352	0.0202969922320282	0.002
TRAF2	MAP3K1	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K1	1	Red	Leaf_branch_53	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Signaling	1	-0.450521220698651	0.0319703360317765	0.002
MAP3K1	MAP2K4	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K1MAP2K4	1	Red	Leaf_branch_53	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Signaling	1	0.336873974669855	0.0289182278600246	0.002
MAP2K4	FLNA	directed	process(binding/association)	MAPK_signaling_pathway	KEGG	MAP2K4FLNA	1	Green	Leaf_branch_53	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___FLNA	Leaf	1	30.9949274467735	0.0493942621549976	0.002
TNF	TNFRSF1A	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_56	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Ligand	1	41.113067856744	0.045275302400301	0.002
TNFRSF1A	TRAF2	directed	process(activation)	MAPK_signaling_pathway	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_56	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Receptor	1	-0.798803911298352	0.0202969922320282	0.002
TRAF2	MAP3K1	directed	process(activation)	MAPK_signaling_pathway	KEGG	TRAF2MAP3K1	1	Red	Leaf_branch_56	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Signaling	1	-0.450521220698651	0.0319703360317765	0.002
MAP3K1	MAP2K4	directed	process(phosphorylation)	MAPK_signaling_pathway	KEGG	MAP3K1MAP2K4	1	Red	Leaf_branch_56	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Signaling	1	0.336873974669855	0.0289182278600246	0.002
MAP2K4	ARRB2	directed	process(binding/association)	MAPK_signaling_pathway	KEGG	MAP2K4ARRB2	1	Green	Leaf_branch_56	TNF___TNFRSF1A___TRAF2___MAP3K1___MAP2K4___ARRB2	Leaf	1	46.8911162646134	0.027446886084963	0.002
IFNG	IFNGR1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGIFNGR1	1	Red	Leaf_branch_120	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Ligand	1	1.11564888095242	0.0316381658000369	0.005
IFNGR1	STAT1	directed	process(activation)	Osteoclast_differentiation	KEGG	IFNGR1STAT1	1	Red	Leaf_branch_120	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Receptor	1	-0.778639888731408	0.0295412626560003	0.005
STAT1	TRAF2	directed	process(indirect_effect)	Osteoclast_differentiation	KEGG	STAT1TRAF2	0.25	Green	Leaf_branch_120	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-0.798803911298352	0.00278792252561712	0.005
TRAF2	RAC1	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2RAC1	1	Red	Leaf_branch_120	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Signaling	1	-15.1440564852218	1.33661721291699e-05	0.005
RAC1	NCF2	directed	process(activation)	Osteoclast_differentiation	KEGG	RAC1NCF2	1	Red	Leaf_branch_120	IFNG___IFNGR1___STAT1___TRAF2___RAC1___NCF2	Leaf	1	42.617866571851	0.0679916991809278	0.005
TNF	TNFRSF1A	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_142	TNF___TNFRSF1A___TRAF2___MAP3K14___CHUK___RELB	Ligand	1	41.113067856744	0.045275302400301	0.005
TNFRSF1A	TRAF2	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_142	TNF___TNFRSF1A___TRAF2___MAP3K14___CHUK___RELB	Receptor	1	-0.798803911298352	0.0202969922320282	0.005
TRAF2	MAP3K14	directed	process(activation)	Osteoclast_differentiation	KEGG	TRAF2MAP3K14	1	Red	Leaf_branch_142	TNF___TNFRSF1A___TRAF2___MAP3K14___CHUK___RELB	Signaling	1	0	2.2250738585072e-308	0.005
MAP3K14	CHUK	directed	process(activation)	Osteoclast_differentiation	KEGG	MAP3K14CHUK	1	Red	Leaf_branch_142	TNF___TNFRSF1A___TRAF2___MAP3K14___CHUK___RELB	Signaling	1	-0.952984628484161	0.0171179373759446	0.005
CHUK	RELB	directed	process(activation)	Osteoclast_differentiation	KEGG	CHUKRELB	1	Red	Leaf_branch_142	TNF___TNFRSF1A___TRAF2___MAP3K14___CHUK___RELB	Leaf	1	-58.8081036226701	0.00960816905846352	0.005
TNF	TNFRSF1A	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFTNFRSF1A	1	Red	Leaf_branch_148	TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3	Ligand	1	41.113067856744	0.045275302400301	0.005
TNFRSF1A	TRAF2	directed	process(activation)	Osteoclast_differentiation	KEGG	TNFRSF1ATRAF2	1	Red	Leaf_branch_148	TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3	Receptor	1	-0.798803911298352	0.0202969922320282	0.005
TRAF2	FYN	directed	process(binding/association)	Osteoclast_differentiation	KEGG	TRAF2FYN	1	Green	Leaf_branch_148	TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3	Signaling	1	-1.00468125600138	0.0227144706368248	0.005
FYN	PIK3R5	directed	process(activation)	Osteoclast_differentiation	KEGG	FYNPIK3R5	1	Red	Leaf_branch_148	TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3	Signaling	1	0.738131213391314	0.0165361915472555	0.005
PIK3R5	AKT3	directed	process(activation)	Osteoclast_differentiation	KEGG	PIK3R5AKT3	1	Red	Leaf_branch_148	TNF___TNFRSF1A___TRAF2___FYN___PIK3R5___AKT3	Leaf	1	-2.0563296418306	0.00762334332605415	0.005
