From	To	Direction	Type
TNF	TNFRSF1A	directed	LR
TNFRSF1A	TRAF2	directed	process(activation)
CHUK	NFKB1	directed	process(indirect_effect)
TRAF2	MAP3K7	directed	process(activation)
MAP3K7	IKBKB	directed	process(activation)
IKBKB	NFKBIA	directed	process(activation)
NFKBIA	NFKB1	directed	process(dissociation)
TRAF2	BTK	directed	process(activation)
BTK	CHUK	directed	process(activation)
CHUK	NFKB2	directed	process(activation)
TNFSF14	LTBR	directed	LR
LTBR	TRAF2	directed	process(binding/association)
TRAF2	MAP3K7	directed	activation
LTB	LTBR	directed	LR
