gene	gene_type	pathway
BTK	links	NF-kappa_B_signaling_pathway
CHUK	TF	Osteoclast_differentiation;MAPK_signaling_pathway;NF-kappa_B_signaling_pathway
IKBKB	links	NF-kappa_B_signaling_pathway
LTB	Ligand	NF-kappa_B_signaling_pathway
LTBR	Receptor	NF-kappa_B_signaling_pathway
MAP3K7	links	Osteoclast_differentiation;NF-kappa_B_signaling_pathway;TNF_signaling_pathway
NFKB1	TF	NF-kappa_B_signaling_pathway
NFKB2	TF	NF-kappa_B_signaling_pathway
NFKBIA	links	NF-kappa_B_signaling_pathway
TNF	Ligand	MAPK_signaling_pathway;Osteoclast_differentiation;NF-kappa_B_signaling_pathway;Apoptosis;TNF_signaling_pathway
TNFRSF1A	Receptor	MAPK_signaling_pathway;Osteoclast_differentiation;NF-kappa_B_signaling_pathway;Apoptosis
TNFSF14	Ligand	NF-kappa_B_signaling_pathway
TRAF2	links	MAPK_signaling_pathway;Osteoclast_differentiation;NF-kappa_B_signaling_pathway;TNF_signaling_pathway
