gene	gene_type	pathway
CD40	Receptor	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
CD40LG	Ligand	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
GLI	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
HIF1Α	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
IKK	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
IKΒ	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
MIR378A-3P	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
NADPHOXIDASE	TF	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
NFKB	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
PDGF	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
PDGFR	links	hepatic_fibrosis_signaling_pathway;hepatic_fibrosis_signaling_pathwya
